iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.14, port 5002
      Cookie: host115.1472986800.754895.4af5d58326
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 51148 connected to 192.168.110.14 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  50.50-51.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  51.00-51.50  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  51.50-52.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  52.00-52.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  52.50-53.00  sec   280 MBytes  4691 Mbits/sec    0   2.31 MBytes       
[  5]  53.00-53.50  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  53.50-54.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  54.00-54.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  54.50-55.00  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  55.00-55.50  sec   279 MBytes  4688 Mbits/sec    0   2.31 MBytes       
[  5]  55.50-56.00  sec   280 MBytes  4692 Mbits/sec    0   2.31 MBytes       
[  5]  56.00-56.50  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  56.50-57.00  sec   280 MBytes  4690 Mbits/sec    0   2.31 MBytes       
[  5]  57.00-57.50  sec   279 MBytes  4688 Mbits/sec    0   2.31 MBytes       
[  5]  57.50-58.00  sec   280 MBytes  4693 Mbits/sec    0   2.31 MBytes       
[  5]  58.00-58.50  sec   279 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  58.50-59.00  sec   280 MBytes  4689 Mbits/sec    0   2.31 MBytes       
[  5]  59.00-59.50  sec   280 MBytes  4691 Mbits/sec    0   2.31 MBytes       
