iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Sun, 04 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.13, port 5002
      Cookie: host115.1472986800.755252.238cf94a18
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 46431 connected to 192.168.110.13 port 5002
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 268435456000 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  54.00-54.50  sec   100 MBytes  1684 Mbits/sec    0   2.28 MBytes       
[  5]  54.50-55.00  sec   100 MBytes  1677 Mbits/sec    0   2.28 MBytes       
[  5]  55.00-55.50  sec   101 MBytes  1693 Mbits/sec    0   2.35 MBytes       
[  5]  55.50-56.00  sec   103 MBytes  1730 Mbits/sec    0   2.35 MBytes       
[  5]  56.00-56.50  sec   105 MBytes  1753 Mbits/sec    0   2.35 MBytes       
[  5]  56.50-57.00  sec   105 MBytes  1755 Mbits/sec    0   2.35 MBytes       
[  5]  57.00-57.50  sec   105 MBytes  1757 Mbits/sec    0   2.35 MBytes       
[  5]  57.50-58.00  sec   105 MBytes  1755 Mbits/sec    0   2.35 MBytes       
[  5]  58.00-58.50  sec   101 MBytes  1693 Mbits/sec    0   2.35 MBytes       
[  5]  58.50-59.00  sec   102 MBytes  1717 Mbits/sec    0   2.35 MBytes       
[  5]  59.00-59.50  sec   104 MBytes  1750 Mbits/sec    0   2.35 MBytes       
[  5]  59.50-60.00  sec   105 MBytes  1760 Mbits/sec    0   2.35 MBytes       
[  5]  60.00-60.50  sec   105 MBytes  1755 Mbits/sec    0   2.35 MBytes       
[  5]  60.50-61.00  sec   105 MBytes  1760 Mbits/sec    0   2.35 MBytes       
[  5]  61.00-61.50  sec   105 MBytes  1757 Mbits/sec    0   2.35 MBytes       
[  5]  61.50-62.00  sec   104 MBytes  1740 Mbits/sec    0   2.35 MBytes       
