iperf 3.1.3
Linux host106 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.5, port 5004
      Cookie: host106.1473078600.180832.48d170ce55
      TCP MSS: 1448 (default)
[  5] local 192.168.110.6 port 58028 connected to 192.168.110.5 port 5004
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  54.00-54.50  sec   229 MBytes  3836 Mbits/sec    0   2.51 MBytes       
[  5]  54.50-55.00  sec   233 MBytes  3912 Mbits/sec    0   2.51 MBytes       
[  5]  55.00-55.50  sec   233 MBytes  3911 Mbits/sec    0   2.51 MBytes       
[  5]  55.50-56.00  sec   236 MBytes  3953 Mbits/sec    0   2.51 MBytes       
[  5]  56.00-56.50  sec   235 MBytes  3944 Mbits/sec    0   2.51 MBytes       
[  5]  56.50-57.00  sec   236 MBytes  3952 Mbits/sec    0   2.51 MBytes       
[  5]  57.00-57.50  sec   234 MBytes  3933 Mbits/sec    0   2.51 MBytes       
[  5]  57.50-58.00  sec   234 MBytes  3921 Mbits/sec    0   2.51 MBytes       
[  5]  58.00-58.50  sec   233 MBytes  3910 Mbits/sec    0   2.51 MBytes       
[  5]  58.50-59.00  sec   232 MBytes  3900 Mbits/sec    0   2.51 MBytes       
[  5]  59.00-59.50  sec   233 MBytes  3913 Mbits/sec    0   2.51 MBytes       
[  5]  59.50-60.00  sec   232 MBytes  3902 Mbits/sec    0   2.51 MBytes       
[  5]  60.00-60.50  sec   233 MBytes  3916 Mbits/sec    0   2.51 MBytes       
[  5]  60.50-61.00  sec   233 MBytes  3916 Mbits/sec    0   2.51 MBytes       
[  5]  61.00-61.50  sec   234 MBytes  3922 Mbits/sec    0   2.51 MBytes       
[  5]  61.50-62.00  sec   234 MBytes  3922 Mbits/sec    0   2.51 MBytes       
[  5]  62.00-62.50  sec   235 MBytes  3940 Mbits/sec    0   2.51 MBytes       
[  5]  62.50-63.00  sec   226 MBytes  3785 Mbits/sec    0   2.51 MBytes       
[  5]  63.00-63.50  sec   224 MBytes  3766 Mbits/sec    0   2.51 MBytes       
[  5]  63.50-64.00  sec   225 MBytes  3774 Mbits/sec    0   2.51 MBytes       
[  5]  64.00-64.50  sec   226 MBytes  3791 Mbits/sec    0   2.51 MBytes       
[  5]  64.50-65.00  sec   225 MBytes  3781 Mbits/sec    0   2.51 MBytes       
[  5]  65.00-65.50  sec   224 MBytes  3763 Mbits/sec    1   2.51 MBytes       
[  5]  65.50-66.00  sec   224 MBytes  3751 Mbits/sec    0   2.51 MBytes       
[  5]  66.00-66.50  sec   224 MBytes  3754 Mbits/sec    0   2.51 MBytes       
[  5]  66.50-67.00  sec   223 MBytes  3747 Mbits/sec    0   2.51 MBytes       
[  5]  67.00-67.50  sec   223 MBytes  3740 Mbits/sec    0   2.51 MBytes       
[  5]  67.50-68.00  sec   224 MBytes  3759 Mbits/sec    0   2.51 MBytes       
[  5]  68.00-68.50  sec   225 MBytes  3772 Mbits/sec    0   2.51 MBytes       
[  5]  68.50-69.00  sec   233 MBytes  3917 Mbits/sec    0   2.51 MBytes       
[  5]  69.00-69.50  sec   234 MBytes  3929 Mbits/sec    0   2.51 MBytes       
[  5]  69.50-70.00  sec   233 MBytes  3916 Mbits/sec    0   2.51 MBytes       
[  5]  70.00-70.50  sec   225 MBytes  3768 Mbits/sec    0   2.51 MBytes       
[  5]  70.50-71.00  sec   224 MBytes  3752 Mbits/sec    0   2.51 MBytes       
[  5]  71.00-71.50  sec   222 MBytes  3732 Mbits/sec    0   2.51 MBytes       
[  5]  71.50-72.00  sec   222 MBytes  3734 Mbits/sec    0   2.51 MBytes       
[  5]  72.00-72.50  sec   222 MBytes  3733 Mbits/sec    0   2.51 MBytes       
[  5]  72.50-73.00  sec   223 MBytes  3739 Mbits/sec    0   2.51 MBytes       
[  5]  73.00-73.50  sec   223 MBytes  3746 Mbits/sec    0   2.51 MBytes       
[  5]  73.50-74.00  sec   223 MBytes  3746 Mbits/sec    0   2.51 MBytes       
[  5]  74.00-74.50  sec   224 MBytes  3753 Mbits/sec    0   2.51 MBytes       
[  5]  74.50-75.00  sec   225 MBytes  3772 Mbits/sec    0   2.51 MBytes       
[  5]  75.00-75.50  sec   222 MBytes  3733 Mbits/sec    0   2.51 MBytes       
[  5]  75.50-76.00  sec   222 MBytes  3734 Mbits/sec    0   2.51 MBytes       
[  5]  76.00-76.50  sec   222 MBytes  3725 Mbits/sec    0   2.51 MBytes       
[  5]  76.50-77.00  sec   224 MBytes  3754 Mbits/sec    0   2.51 MBytes       
[  5]  77.00-77.50  sec   224 MBytes  3750 Mbits/sec    0   2.51 MBytes       
[  5]  77.50-78.00  sec   222 MBytes  3728 Mbits/sec    0   2.51 MBytes       
[  5]  78.00-78.50  sec   224 MBytes  3756 Mbits/sec    0   2.51 MBytes       
[  5]  78.50-79.00  sec   224 MBytes  3765 Mbits/sec    0   2.51 MBytes       
[  5]  79.00-79.50  sec   224 MBytes  3751 Mbits/sec    0   2.51 MBytes       
[  5]  79.50-80.00  sec   230 MBytes  3861 Mbits/sec    0   2.51 MBytes       
[  5]  80.00-80.50  sec   233 MBytes  3913 Mbits/sec    0   2.51 MBytes       
[  5]  80.50-81.00  sec   225 MBytes  3772 Mbits/sec    0   2.51 MBytes       
[  5]  81.00-81.50  sec   224 MBytes  3752 Mbits/sec    0   2.51 MBytes       
[  5]  81.50-82.00  sec   224 MBytes  3754 Mbits/sec    0   2.51 MBytes       
[  5]  82.00-82.50  sec   224 MBytes  3763 Mbits/sec    0   2.51 MBytes       
[  5]  82.50-83.00  sec   224 MBytes  3755 Mbits/sec    0   2.51 MBytes       
[  5]  83.00-83.50  sec   224 MBytes  3750 Mbits/sec    0   2.51 MBytes       
[  5]  83.50-84.00  sec   223 MBytes  3743 Mbits/sec    0   2.51 MBytes       
[  5]  84.00-84.50  sec   222 MBytes  3728 Mbits/sec    0   2.51 MBytes       
[  5]  84.50-85.00  sec   222 MBytes  3727 Mbits/sec    0   2.51 MBytes       
[  5]  85.00-85.50  sec   221 MBytes  3712 Mbits/sec    0   2.51 MBytes       
[  5]  85.50-86.00  sec   220 MBytes  3691 Mbits/sec    0   2.51 MBytes       
[  5]  86.00-86.50  sec   220 MBytes  3690 Mbits/sec    0   2.51 MBytes       
[  5]  86.50-87.00  sec   219 MBytes  3679 Mbits/sec    0   2.51 MBytes       
[  5]  87.00-87.50  sec   222 MBytes  3732 Mbits/sec    0   2.51 MBytes       
[  5]  87.50-88.00  sec   221 MBytes  3712 Mbits/sec    0   2.51 MBytes       
[  5]  88.00-88.50  sec   220 MBytes  3692 Mbits/sec    0   2.51 MBytes       
[  5]  88.50-89.00  sec   219 MBytes  3668 Mbits/sec    0   2.51 MBytes       
[  5]  89.00-89.50  sec   218 MBytes  3659 Mbits/sec    0   2.51 MBytes       
[  5]  89.50-90.00  sec   217 MBytes  3643 Mbits/sec    0   2.51 MBytes       
[  5]  90.00-90.50  sec   217 MBytes  3641 Mbits/sec    0   2.51 MBytes       
[  5]  90.50-91.00  sec   217 MBytes  3642 Mbits/sec    0   2.51 MBytes       
[  5]  91.00-91.50  sec   217 MBytes  3637 Mbits/sec    0   2.51 MBytes       
[  5]  91.50-92.00  sec   221 MBytes  3710 Mbits/sec    0   2.51 MBytes       
[  5]  92.00-92.50  sec   221 MBytes  3713 Mbits/sec    0   2.51 MBytes       
[  5]  92.50-93.00  sec   222 MBytes  3721 Mbits/sec    0   2.51 MBytes       
[  5]  93.00-93.50  sec   223 MBytes  3746 Mbits/sec    0   2.51 MBytes       
[  5]  93.50-94.00  sec   217 MBytes  3634 Mbits/sec    0   2.51 MBytes       
[  5]  94.00-94.50  sec   216 MBytes  3618 Mbits/sec    0   2.51 MBytes       
[  5]  94.50-95.00  sec   215 MBytes  3606 Mbits/sec    0   2.51 MBytes       
[  5]  95.00-95.50  sec   215 MBytes  3602 Mbits/sec    0   2.51 MBytes       
[  5]  95.50-96.00  sec   220 MBytes  3687 Mbits/sec    0   2.51 MBytes       
