model	 train	  test       iter	trainLoss	 testLoss	  trainIF	  trainCR   trainAccuracy	   testIF	   testCR    testAccuracy	
avg3-25	 10000	  1000	     3518	 0.118056	 1.633602	 4.241200	 3.929200	 0.926436	 4.588000	 1.768000	 0.385353	 0.891300	 0.131000	 3968145.000000	
univ1	  3000	   900	    48381	 1.717607	 1.868570	 13.534000	 2.179333	 0.161027	 13.122222	 2.016667	 0.153683	 0.000333	 0.000000	 3561612.000000	
univ1	  1500	   444	     2570	 1.030175	 5.026080	 6.997333	 3.316000	 0.473895	 8.655405	 1.425676	 0.164715	 0.306000	 0.006757	 1262142.000000	
univ1	  1500	   444	     3992	 0.910689	 6.224225	 7.031333	 3.401333	 0.483739	 8.671171	 1.500000	 0.172987	 0.429333	 0.002252	 1262284.000000	
univ1	  1500	   444	     4632	 0.636894	 8.146464	 5.804667	 3.559333	 0.613185	 7.355856	 1.213964	 0.165034	 0.633333	 0.000000	 1259677.000000	
univ1	  1500	   444	     5758	 0.417841	 7.350359	 5.292667	 3.672000	 0.693790	 6.693694	 1.114865	 0.166555	 0.770667	 0.002252	 1245753.000000	
univ1	  1500	   444	     6827	 0.376123	 8.557209	 5.308667	 3.728000	 0.702248	 6.457207	 1.083333	 0.167771	 0.791333	 0.004505	 1257660.000000	
univ1	  1500	   444	    13554	 0.240177	 11.025713	 4.711333	 3.802000	 0.806990	 5.614865	 0.970721	 0.172884	 0.860667	 0.006757	 1260365.000000	
univ1	  1500	   444	    17344	 0.219935	 9.558275	 4.672000	 3.831333	 0.820063	 5.614865	 0.972973	 0.173285	 0.874667	 0.011261	 1256119.000000	
univ1	  1500	   444	    24739	 0.193659	 14.663939	 4.569333	 3.845333	 0.841552	 5.605856	 0.963964	 0.171957	 0.892000	 0.009009	 1261623.000000	
univ1	  1500	   444	    45365	 0.143376	 10.022183	 4.412667	 3.892667	 0.882157	 5.610360	 0.979730	 0.174629	 0.920667	 0.011261	 1263185.000000	
univ1	  1500	   444	    82656	 0.104812	 11.023862	 4.216000	 3.922000	 0.930266	 5.373874	 0.988739	 0.183990	 0.946000	 0.009009	 1262580.000000	
univ1	  1500	   444	    97720	 0.099399	 11.212386	 4.213333	 3.928000	 0.932278	 5.466216	 0.963964	 0.176349	 0.944000	 0.006757	 1269896.000000	
univ1	  1500	   444	    82656	 0.104812	 11.023862	 4.216000	 3.922000	 0.930266	 5.373874	 0.988739	 0.183990	 0.946000	 0.009009	 1256525.000000	
wireless  10000	  1000	    21165	 0.058676	 3.424817	 16.000000	 16.000000	 1.000000	 13.959000	 9.080000	 0.650476	 1.000000	 0.119000	 3972715.000000	
wless	 10000	  1000	    58055	 0.036980	 3.406277	 16.000000	 16.000000	 1.000000	 14.225000	 9.241000	 0.649631	 1.000000	 0.127000	 3972791.000000	
wless	 10000	  1000	    67575	 0.038468	 3.365396	 16.000000	 16.000000	 1.000000	 14.013000	 9.177000	 0.654892	 1.000000	 0.132000	 3961493.000000	
wless	 19000	  1000	    27782	 0.041388	 3.425189	 16.000000	 16.000000	 1.000000	 14.625000	 9.541000	 0.652376	 1.000000	 0.109000	 3950820.000000	
wless	 19000	  1000	    33840	 0.031803	 3.389615	 16.000000	 16.000000	 1.000000	 14.687000	 9.581000	 0.652346	 1.000000	 0.123000	 4282647.000000	
wless	 19000	  1000	    35913	 0.032404	 3.383707	 16.000000	 16.000000	 1.000000	 14.658000	 9.552000	 0.651658	 1.000000	 0.113000	 3986111.000000	
wless	 19000	  1000	    44035	 0.032385	 3.384912	 16.000000	 16.000000	 1.000000	 14.683000	 9.562000	 0.651229	 1.000000	 0.110000	 3967975.000000	
wless	     1	  1000	    14698	 0.101022	 3.710257	 16.000000	 16.000000	 1.000000	 15.159000	 9.729000	 0.641797	 1.000000	 0.093000	 2870661.000000	
wless	  5000	  1000	    14698	 0.111380	 3.710257	 16.000000	 16.000000	 1.000000	 15.159000	 9.729000	 0.641797	 1.000000	 0.093000	 2841051.000000	
wless	  5000	  1000	    18523	 0.105530	 3.698923	 16.000000	 16.000000	 1.000000	 14.964000	 9.598000	 0.641406	 1.000000	 0.094000	 2828283.000000	
wless	  5000	  1000	    23120	 0.049779	 3.645546	 16.000000	 16.000000	 1.000000	 14.675000	 9.516000	 0.648450	 1.000000	 0.101000	 2820428.000000	
wless	  5000	  1000	     1611	 1.611266	 3.509189	 15.999800	 14.112000	 0.882011	 15.824000	 10.265000	 0.648698	 0.621400	 0.109000	 2842318.000000	
wless	  5000	  1000	     2195	 0.598123	 3.662020	 16.062800	 15.822400	 0.985034	 16.004000	 10.274000	 0.641965	 0.943000	 0.098000	 2840701.000000	
wless	  5000	  1000	     2519	 0.360517	 3.682165	 16.016800	 15.976400	 0.997478	 15.888000	 10.144000	 0.638469	 0.994200	 0.108000	 2848668.000000	
wless	  5000	  1000	     2907	 0.245271	 3.679629	 16.005000	 15.995800	 0.999425	 16.025000	 10.260000	 0.640250	 0.998800	 0.106000	 2832770.000000	
wless	  5000	  1000	    27358	 0.053201	 3.651978	 16.000000	 16.000000	 1.000000	 14.654000	 9.501000	 0.648355	 1.000000	 0.103000	 2829507.000000	
wless	  5000	  1000	    30132	 0.050681	 3.648359	 16.000000	 16.000000	 1.000000	 14.621000	 9.503000	 0.649956	 1.000000	 0.098000	 2843394.000000	
wless	  5000	  1000	     1164	 2.927857	 3.126773	 17.656400	 12.181200	 0.689903	 17.592000	 11.698000	 0.664961	 0.150400	 0.107000	 3920948.000000	
wless	  5000	  1000	     5235	 0.354593	 3.675572	 16.037200	 15.977400	 0.996271	 15.879000	 10.180000	 0.641098	 0.986000	 0.091000	 3967719.000000	
wless	  5000	  1000	     1164	 2.927857	 3.126773	 17.656400	 12.181200	 0.689903	 17.592000	 11.698000	 0.664961	 0.150400	 0.107000	 3973914.000000	
wless	   500	  1000	     2022	 2.540682	 3.229727	 16.676000	 12.604000	 0.755817	 16.646000	 10.974000	 0.659257	 0.278000	 0.116000	 3989701.000000	
wless	   500	  1000	      332	 3.064389	 3.111022	 16.292000	 11.156000	 0.684753	 16.246000	 10.980000	 0.675859	 0.202000	 0.138000	 3983510.000000	
wless	   500	  1000	      829	 2.991423	 3.120683	 17.712000	 12.148000	 0.685863	 17.727000	 11.746000	 0.662605	 0.176000	 0.111000	 3962329.000000	
