iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 11:00:00 GMT
Connecting to host 192.168.110.16, port 5001
      Cookie: host115.1473073200.036546.49ed06d425
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 36597 connected to 192.168.110.16 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  54.50-55.00  sec   254 MBytes  4251 Mbits/sec    0   2.25 MBytes       
[  5]  55.00-55.50  sec   254 MBytes  4258 Mbits/sec    0   2.25 MBytes       
[  5]  55.50-56.00  sec   253 MBytes  4253 Mbits/sec    0   2.25 MBytes       
[  5]  56.00-56.50  sec   252 MBytes  4241 Mbits/sec    0   2.25 MBytes       
[  5]  56.50-57.00  sec   258 MBytes  4329 Mbits/sec    0   2.25 MBytes       
[  5]  57.00-57.50  sec   257 MBytes  4313 Mbits/sec    0   2.25 MBytes       
[  5]  57.50-58.00  sec   254 MBytes  4257 Mbits/sec    0   2.25 MBytes       
[  5]  58.00-58.50  sec   253 MBytes  4254 Mbits/sec    0   2.25 MBytes       
[  5]  58.50-59.00  sec   253 MBytes  4246 Mbits/sec    0   2.25 MBytes       
[  5]  59.00-59.50  sec   253 MBytes  4251 Mbits/sec    0   2.25 MBytes       
[  5]  59.50-60.00  sec   252 MBytes  4243 Mbits/sec    0   2.25 MBytes       
[  5]  60.00-60.50  sec   254 MBytes  4252 Mbits/sec    0   2.25 MBytes       
[  5]  60.50-61.00  sec   255 MBytes  4271 Mbits/sec    0   2.25 MBytes       
[  5]  61.00-61.50  sec   254 MBytes  4254 Mbits/sec    0   2.25 MBytes       
[  5]  61.50-62.00  sec   255 MBytes  4279 Mbits/sec    0   2.25 MBytes       
[  5]  62.00-62.50  sec   255 MBytes  4280 Mbits/sec    0   2.25 MBytes       
[  5]  62.50-63.00  sec   258 MBytes  4319 Mbits/sec    0   2.25 MBytes       
[  5]  63.00-63.50  sec   258 MBytes  4320 Mbits/sec    0   2.25 MBytes       
[  5]  63.50-64.00  sec   257 MBytes  4317 Mbits/sec    0   2.25 MBytes       
[  5]  64.00-64.50  sec   255 MBytes  4290 Mbits/sec    0   2.25 MBytes       
[  5]  64.50-65.00  sec   256 MBytes  4290 Mbits/sec    0   2.25 MBytes       
[  5]  65.00-65.50  sec   256 MBytes  4292 Mbits/sec    0   2.25 MBytes       
[  5]  65.50-66.00  sec   255 MBytes  4294 Mbits/sec    0   2.25 MBytes       
[  5]  66.00-66.50  sec   255 MBytes  4273 Mbits/sec    0   2.25 MBytes       
[  5]  66.50-67.00  sec   254 MBytes  4260 Mbits/sec    0   2.25 MBytes       
[  5]  67.00-67.50  sec   254 MBytes  4256 Mbits/sec    0   2.25 MBytes       
[  5]  67.50-68.00  sec   252 MBytes  4235 Mbits/sec    0   2.25 MBytes       
[  5]  68.00-68.50  sec   251 MBytes  4209 Mbits/sec    0   2.25 MBytes       
[  5]  68.50-69.00  sec   250 MBytes  4197 Mbits/sec    0   2.25 MBytes       
[  5]  69.00-69.50  sec   255 MBytes  4283 Mbits/sec    0   2.25 MBytes       
[  5]  69.50-70.00  sec   255 MBytes  4275 Mbits/sec    0   2.25 MBytes       
[  5]  70.00-70.50  sec   252 MBytes  4239 Mbits/sec    0   2.25 MBytes       
[  5]  70.50-71.00  sec   255 MBytes  4279 Mbits/sec    0   2.25 MBytes       
[  5]  71.00-71.50  sec   256 MBytes  4295 Mbits/sec    0   2.25 MBytes       
[  5]  71.50-72.00  sec   256 MBytes  4292 Mbits/sec    0   2.25 MBytes       
[  5]  72.00-72.50  sec   254 MBytes  4251 Mbits/sec    0   2.25 MBytes       
[  5]  72.50-73.00  sec   254 MBytes  4257 Mbits/sec    0   2.25 MBytes       
[  5]  73.00-73.50  sec   254 MBytes  4262 Mbits/sec    0   2.25 MBytes       
[  5]  73.50-74.00  sec   255 MBytes  4269 Mbits/sec    0   2.25 MBytes       
[  5]  74.00-74.50  sec   254 MBytes  4256 Mbits/sec    0   2.25 MBytes       
[  5]  74.50-75.00  sec   254 MBytes  4271 Mbits/sec    0   2.25 MBytes       
[  5]  75.00-75.50  sec   255 MBytes  4275 Mbits/sec    0   2.25 MBytes       
[  5]  75.50-76.00  sec   255 MBytes  4285 Mbits/sec    0   2.25 MBytes       
[  5]  76.00-76.50  sec   259 MBytes  4336 Mbits/sec    0   2.25 MBytes       
[  5]  76.50-77.00  sec   258 MBytes  4320 Mbits/sec    0   2.25 MBytes       
[  5]  77.00-77.50  sec   256 MBytes  4303 Mbits/sec    0   2.25 MBytes       
[  5]  77.50-78.00  sec   256 MBytes  4294 Mbits/sec    0   2.25 MBytes       
[  5]  78.00-78.50  sec   255 MBytes  4274 Mbits/sec    0   2.25 MBytes       
[  5]  78.50-79.00  sec   254 MBytes  4261 Mbits/sec    0   2.25 MBytes       
[  5]  79.00-79.50  sec   254 MBytes  4252 Mbits/sec    0   2.25 MBytes       
[  5]  79.50-80.00  sec   252 MBytes  4235 Mbits/sec    0   2.25 MBytes       
[  5]  80.00-80.50  sec   250 MBytes  4195 Mbits/sec    0   2.25 MBytes       
[  5]  80.50-81.00  sec   251 MBytes  4209 Mbits/sec    0   2.25 MBytes       
[  5]  81.00-81.50  sec   252 MBytes  4230 Mbits/sec    0   2.25 MBytes       
[  5]  81.50-82.00  sec   258 MBytes  4336 Mbits/sec    0   2.25 MBytes       
[  5]  82.00-82.50  sec   263 MBytes  4416 Mbits/sec    0   2.25 MBytes       
[  5]  82.50-83.00  sec   262 MBytes  4402 Mbits/sec    0   2.25 MBytes       
[  5]  83.00-83.50  sec   262 MBytes  4396 Mbits/sec    0   2.25 MBytes       
[  5]  83.50-84.00  sec   261 MBytes  4383 Mbits/sec    0   2.25 MBytes       
[  5]  84.00-84.50  sec   261 MBytes  4385 Mbits/sec    0   2.25 MBytes       
[  5]  84.50-85.00  sec   260 MBytes  4368 Mbits/sec    0   2.25 MBytes       
[  5]  85.00-85.50  sec   261 MBytes  4376 Mbits/sec    0   2.25 MBytes       
[  5]  85.50-86.00  sec   262 MBytes  4401 Mbits/sec    0   2.25 MBytes       
[  5]  86.00-86.50  sec   262 MBytes  4405 Mbits/sec    0   2.25 MBytes       
[  5]  86.50-87.00  sec   262 MBytes  4399 Mbits/sec    0   2.25 MBytes       
[  5]  87.00-87.50  sec   262 MBytes  4397 Mbits/sec    0   2.25 MBytes       
[  5]  87.50-88.00  sec   261 MBytes  4377 Mbits/sec    0   2.25 MBytes       
[  5]  88.00-88.50  sec   261 MBytes  4383 Mbits/sec    0   2.25 MBytes       
[  5]  88.50-89.00  sec   261 MBytes  4383 Mbits/sec    0   2.25 MBytes       
[  5]  89.00-89.50  sec   260 MBytes  4376 Mbits/sec    0   2.25 MBytes       
[  5]  89.50-90.00  sec   260 MBytes  4356 Mbits/sec    0   2.25 MBytes       
[  5]  90.00-90.50  sec   260 MBytes  4363 Mbits/sec    0   2.25 MBytes       
[  5]  90.50-91.00  sec   259 MBytes  4340 Mbits/sec    0   2.25 MBytes       
[  5]  91.00-91.50  sec   259 MBytes  4337 Mbits/sec    0   2.25 MBytes       
[  5]  91.50-92.00  sec   260 MBytes  4356 Mbits/sec    0   2.25 MBytes       
[  5]  92.00-92.50  sec   259 MBytes  4353 Mbits/sec    0   2.25 MBytes       
[  5]  92.50-93.00  sec   260 MBytes  4354 Mbits/sec    0   2.25 MBytes       
[  5]  93.00-93.50  sec   260 MBytes  4363 Mbits/sec    0   2.25 MBytes       
[  5]  93.50-94.00  sec   261 MBytes  4378 Mbits/sec    0   2.25 MBytes       
[  5]  94.00-94.50  sec   260 MBytes  4352 Mbits/sec    0   2.25 MBytes       
[  5]  94.50-95.00  sec   259 MBytes  4338 Mbits/sec    0   2.25 MBytes       
[  5]  95.00-95.50  sec   259 MBytes  4342 Mbits/sec    0   2.25 MBytes       
