iperf 3.1.3
Linux host106 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Mon, 05 Sep 2016 12:30:00 GMT
Connecting to host 192.168.110.3, port 5001
      Cookie: host106.1473078600.180767.5edff65f79
      TCP MSS: 1448 (default)
[  5] local 192.168.110.6 port 51589 connected to 192.168.110.3 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 53687091200 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  58.50-59.00  sec   267 MBytes  4486 Mbits/sec    0   2.59 MBytes       
[  5]  59.00-59.50  sec   268 MBytes  4486 Mbits/sec    0   2.59 MBytes       
[  5]  59.50-60.00  sec   268 MBytes  4493 Mbits/sec    0   2.59 MBytes       
[  5]  60.00-60.50  sec   268 MBytes  4500 Mbits/sec    0   2.59 MBytes       
[  5]  60.50-61.00  sec   268 MBytes  4487 Mbits/sec    0   2.59 MBytes       
[  5]  61.00-61.50  sec   267 MBytes  4478 Mbits/sec    0   2.59 MBytes       
[  5]  61.50-62.00  sec   267 MBytes  4482 Mbits/sec    0   2.59 MBytes       
[  5]  62.00-62.50  sec   269 MBytes  4510 Mbits/sec    0   2.59 MBytes       
[  5]  62.50-63.00  sec   270 MBytes  4528 Mbits/sec    0   2.59 MBytes       
[  5]  63.00-63.50  sec   270 MBytes  4525 Mbits/sec    0   2.59 MBytes       
[  5]  63.50-64.00  sec   268 MBytes  4505 Mbits/sec    0   2.59 MBytes       
[  5]  64.00-64.50  sec   267 MBytes  4483 Mbits/sec    0   2.59 MBytes       
[  5]  64.50-65.00  sec   266 MBytes  4471 Mbits/sec    0   2.59 MBytes       
[  5]  65.00-65.50  sec   266 MBytes  4464 Mbits/sec    0   2.59 MBytes       
[  5]  65.50-66.00  sec   267 MBytes  4484 Mbits/sec    0   2.59 MBytes       
[  5]  66.00-66.50  sec   267 MBytes  4484 Mbits/sec    0   2.59 MBytes       
[  5]  66.50-67.00  sec   267 MBytes  4482 Mbits/sec    0   2.59 MBytes       
[  5]  67.00-67.50  sec   267 MBytes  4477 Mbits/sec    0   2.59 MBytes       
[  5]  67.50-68.00  sec   268 MBytes  4502 Mbits/sec    0   2.59 MBytes       
[  5]  68.00-68.50  sec   270 MBytes  4526 Mbits/sec    0   2.59 MBytes       
[  5]  68.50-69.00  sec   269 MBytes  4506 Mbits/sec    0   2.59 MBytes       
[  5]  69.00-69.50  sec   268 MBytes  4500 Mbits/sec    0   2.59 MBytes       
[  5]  69.50-70.00  sec   268 MBytes  4496 Mbits/sec    0   2.59 MBytes       
[  5]  70.00-70.50  sec   268 MBytes  4486 Mbits/sec    0   2.59 MBytes       
[  5]  70.50-71.00  sec   267 MBytes  4479 Mbits/sec    0   2.59 MBytes       
[  5]  71.00-71.50  sec   266 MBytes  4470 Mbits/sec    0   2.59 MBytes       
[  5]  71.50-72.00  sec   267 MBytes  4481 Mbits/sec    0   2.59 MBytes       
[  5]  72.00-72.50  sec   266 MBytes  4461 Mbits/sec    0   2.59 MBytes       
[  5]  72.50-73.00  sec   266 MBytes  4465 Mbits/sec    0   2.59 MBytes       
[  5]  73.00-73.50  sec   267 MBytes  4486 Mbits/sec    0   2.59 MBytes       
[  5]  73.50-74.00  sec   266 MBytes  4470 Mbits/sec    0   2.59 MBytes       
[  5]  74.00-74.50  sec   269 MBytes  4506 Mbits/sec    0   2.59 MBytes       
[  5]  74.50-75.00  sec   270 MBytes  4534 Mbits/sec    0   2.59 MBytes       
[  5]  75.00-75.50  sec   270 MBytes  4519 Mbits/sec    0   2.59 MBytes       
[  5]  75.50-76.00  sec   269 MBytes  4508 Mbits/sec    0   2.59 MBytes       
[  5]  76.00-76.50  sec   268 MBytes  4506 Mbits/sec    0   2.59 MBytes       
[  5]  76.50-77.00  sec   268 MBytes  4490 Mbits/sec    0   2.59 MBytes       
[  5]  77.00-77.50  sec   269 MBytes  4502 Mbits/sec    0   2.59 MBytes       
[  5]  77.50-78.00  sec   268 MBytes  4489 Mbits/sec    0   2.59 MBytes       
