iperf 3.1.3
Linux host113 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt20-1+deb8u3 (2016-01-17) x86_64
Time: Sun, 04 Sep 2016 10:00:00 GMT
Connecting to host 192.168.110.5, port 5001
      Cookie: host113.1472983200.869307.5402687f4b
      TCP MSS: 1448 (default)
[  5] local 192.168.110.13 port 56783 connected to 192.168.110.5 port 5001
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 35433480192 bytes to send
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  65.00-65.50  sec  38.4 MBytes   644 Mbits/sec    0    658 KBytes       
[  5]  65.50-66.00  sec  38.5 MBytes   645 Mbits/sec    0    675 KBytes       
[  5]  66.00-66.50  sec  38.5 MBytes   644 Mbits/sec    0    675 KBytes       
[  5]  66.50-67.00  sec  38.0 MBytes   638 Mbits/sec    0    675 KBytes       
[  5]  67.00-67.50  sec  33.9 MBytes   569 Mbits/sec    4    472 KBytes       
[  5]  67.50-68.00  sec  30.5 MBytes   512 Mbits/sec    0    472 KBytes       
[  5]  68.00-68.50  sec  31.1 MBytes   522 Mbits/sec    0    472 KBytes       
[  5]  68.50-69.00  sec  32.1 MBytes   538 Mbits/sec    0    539 KBytes       
[  5]  69.00-69.50  sec  34.3 MBytes   576 Mbits/sec    0    576 KBytes       
[  5]  69.50-70.00  sec  33.8 MBytes   566 Mbits/sec    0    576 KBytes       
[  5]  70.00-70.50  sec  30.7 MBytes   515 Mbits/sec    0    576 KBytes       
[  5]  70.50-71.00  sec  32.3 MBytes   541 Mbits/sec    0    576 KBytes       
[  5]  71.00-71.50  sec  31.2 MBytes   524 Mbits/sec    0    576 KBytes       
[  5]  71.50-72.00  sec  30.0 MBytes   502 Mbits/sec    7    421 KBytes       
[  5]  72.00-72.50  sec  29.3 MBytes   492 Mbits/sec    0    438 KBytes       
[  5]  72.50-73.00  sec  29.5 MBytes   495 Mbits/sec    0    451 KBytes       
[  5]  73.00-73.50  sec  30.4 MBytes   511 Mbits/sec    0    465 KBytes       
[  5]  73.50-74.00  sec  31.1 MBytes   521 Mbits/sec    0    475 KBytes       
[  5]  74.00-74.50  sec  31.4 MBytes   528 Mbits/sec    0    481 KBytes       
[  5]  74.50-75.00  sec  31.8 MBytes   533 Mbits/sec    0    485 KBytes       
[  5]  75.00-75.50  sec  31.7 MBytes   532 Mbits/sec    0    486 KBytes       
[  5]  75.50-76.00  sec  30.9 MBytes   518 Mbits/sec    0    488 KBytes       
[  5]  76.00-76.50  sec  31.4 MBytes   528 Mbits/sec    0    489 KBytes       
[  5]  76.50-77.00  sec  31.4 MBytes   528 Mbits/sec    0    489 KBytes       
[  5]  77.00-77.50  sec  28.6 MBytes   480 Mbits/sec    3    363 KBytes       
[  5]  77.50-78.00  sec  27.5 MBytes   461 Mbits/sec    0    392 KBytes       
[  5]  78.00-78.50  sec  26.3 MBytes   442 Mbits/sec    0    417 KBytes       
[  5]  78.50-79.00  sec  27.6 MBytes   464 Mbits/sec    0    437 KBytes       
[  5]  79.00-79.50  sec  30.7 MBytes   515 Mbits/sec    0    452 KBytes       
[  5]  79.50-80.00  sec  32.1 MBytes   538 Mbits/sec    0    465 KBytes       
[  5]  80.00-80.50  sec  32.1 MBytes   539 Mbits/sec    0    475 KBytes       
[  5]  80.50-81.00  sec  32.1 MBytes   539 Mbits/sec    0    481 KBytes       
[  5]  81.00-81.50  sec  32.2 MBytes   540 Mbits/sec    0    486 KBytes       
[  5]  81.50-82.00  sec  32.1 MBytes   539 Mbits/sec    0    489 KBytes       
[  5]  82.00-82.50  sec  32.1 MBytes   538 Mbits/sec    0    491 KBytes       
[  5]  82.50-83.00  sec  31.8 MBytes   534 Mbits/sec    0    492 KBytes       
[  5]  83.00-83.50  sec  32.0 MBytes   537 Mbits/sec    0    492 KBytes       
[  5]  83.50-84.00  sec  31.8 MBytes   534 Mbits/sec    0    494 KBytes       
[  5]  84.00-84.50  sec  29.1 MBytes   488 Mbits/sec    0    494 KBytes       
[  5]  84.50-85.00  sec  29.0 MBytes   487 Mbits/sec    0    494 KBytes       
[  5]  85.00-85.50  sec  29.0 MBytes   486 Mbits/sec    0    494 KBytes       
[  5]  85.50-86.00  sec  29.1 MBytes   488 Mbits/sec    0    494 KBytes       
[  5]  86.00-86.50  sec  29.2 MBytes   490 Mbits/sec    0    498 KBytes       
[  5]  86.50-87.00  sec  25.9 MBytes   434 Mbits/sec    3    368 KBytes       
[  5]  87.00-87.50  sec  27.2 MBytes   456 Mbits/sec    0    399 KBytes       
[  5]  87.50-88.00  sec  30.0 MBytes   503 Mbits/sec    0    423 KBytes       
[  5]  88.00-88.50  sec  30.5 MBytes   512 Mbits/sec    0    444 KBytes       
[  5]  88.50-89.00  sec  28.8 MBytes   482 Mbits/sec    0    460 KBytes       
[  5]  89.00-89.50  sec  30.2 MBytes   507 Mbits/sec    0    472 KBytes       
[  5]  89.50-90.00  sec  29.9 MBytes   501 Mbits/sec    0    481 KBytes       
[  5]  90.00-90.50  sec  30.3 MBytes   509 Mbits/sec    0    488 KBytes       
[  5]  90.50-91.00  sec  30.4 MBytes   510 Mbits/sec    0    494 KBytes       
[  5]  91.00-91.50  sec  30.8 MBytes   516 Mbits/sec    0    496 KBytes       
[  5]  91.50-92.00  sec  31.6 MBytes   530 Mbits/sec    0    498 KBytes       
[  5]  92.00-92.50  sec  30.9 MBytes   519 Mbits/sec    0    498 KBytes       
[  5]  92.50-93.00  sec  30.1 MBytes   506 Mbits/sec    0    499 KBytes       
[  5]  93.00-93.50  sec  29.4 MBytes   493 Mbits/sec   29    363 KBytes       
[  5]  93.50-94.00  sec  25.4 MBytes   426 Mbits/sec    0    393 KBytes       
[  5]  94.00-94.50  sec  28.5 MBytes   478 Mbits/sec    0    419 KBytes       
[  5]  94.50-95.00  sec  30.7 MBytes   515 Mbits/sec    0    440 KBytes       
[  5]  95.00-95.50  sec  30.3 MBytes   508 Mbits/sec    0    457 KBytes       
[  5]  95.50-96.00  sec  30.6 MBytes   513 Mbits/sec    0    471 KBytes       
[  5]  96.00-96.50  sec  31.1 MBytes   522 Mbits/sec    0    481 KBytes       
[  5]  96.50-97.00  sec  31.2 MBytes   524 Mbits/sec    0    488 KBytes       
[  5]  97.00-97.50  sec  31.5 MBytes   529 Mbits/sec    0    494 KBytes       
[  5]  97.50-98.00  sec  31.3 MBytes   526 Mbits/sec    0    496 KBytes       
[  5]  98.00-98.50  sec  31.6 MBytes   530 Mbits/sec    0    499 KBytes       
[  5]  98.50-99.00  sec  31.6 MBytes   531 Mbits/sec    0    499 KBytes       
[  5]  99.00-99.50  sec  31.4 MBytes   528 Mbits/sec    0    501 KBytes       
[  5]  99.50-100.00 sec  31.9 MBytes   536 Mbits/sec    0    502 KBytes       
[  5] 100.00-100.50 sec  31.9 MBytes   535 Mbits/sec    0    502 KBytes       
[  5] 100.50-101.00 sec  32.0 MBytes   537 Mbits/sec    0    503 KBytes       
[  5] 101.00-101.50 sec  31.8 MBytes   534 Mbits/sec    0    505 KBytes       
[  5] 101.50-102.00 sec  31.9 MBytes   536 Mbits/sec    0    505 KBytes       
[  5] 102.00-102.50 sec  31.9 MBytes   535 Mbits/sec    0    510 KBytes       
[  5] 102.50-103.00 sec  32.0 MBytes   537 Mbits/sec    0    519 KBytes       
[  5] 103.00-103.50 sec  31.9 MBytes   536 Mbits/sec    0    529 KBytes       
[  5] 103.50-104.00 sec  32.0 MBytes   537 Mbits/sec    0    543 KBytes       
[  5] 104.00-104.50 sec  32.1 MBytes   538 Mbits/sec    0    560 KBytes       
[  5] 104.50-105.00 sec  31.8 MBytes   533 Mbits/sec    0    573 KBytes       
[  5] 105.00-105.50 sec  31.9 MBytes   535 Mbits/sec    0    584 KBytes       
[  5] 105.50-106.00 sec  31.8 MBytes   534 Mbits/sec    0    584 KBytes       
[  5] 106.00-106.50 sec  31.9 MBytes   535 Mbits/sec    0    584 KBytes       
[  5] 106.50-107.00 sec  31.9 MBytes   535 Mbits/sec    0    584 KBytes       
[  5] 107.00-107.50 sec  31.8 MBytes   533 Mbits/sec    0    622 KBytes       
[  5] 107.50-108.00 sec  37.7 MBytes   632 Mbits/sec    0    721 KBytes       
[  5] 108.00-108.50 sec  38.7 MBytes   649 Mbits/sec    0    744 KBytes       
[  5] 108.50-109.00 sec  38.4 MBytes   644 Mbits/sec    0    744 KBytes       
[  5] 109.00-109.50 sec  38.0 MBytes   638 Mbits/sec    0    744 KBytes       
[  5] 109.50-110.00 sec  38.2 MBytes   641 Mbits/sec    0    744 KBytes       
[  5] 110.00-110.50 sec  38.2 MBytes   640 Mbits/sec    0    744 KBytes       
[  5] 110.50-111.00 sec  38.2 MBytes   640 Mbits/sec    0    744 KBytes       
[  5] 111.00-111.50 sec  38.3 MBytes   642 Mbits/sec    0    744 KBytes       
[  5] 111.50-112.00 sec  38.2 MBytes   641 Mbits/sec    0    744 KBytes       
[  5] 112.00-112.50 sec  38.0 MBytes   638 Mbits/sec    0    744 KBytes       
[  5] 112.50-113.00 sec  38.1 MBytes   639 Mbits/sec    1    744 KBytes       
[  5] 113.00-113.50 sec  38.0 MBytes   638 Mbits/sec    0    744 KBytes       
[  5] 113.50-114.00 sec  38.2 MBytes   641 Mbits/sec    0    744 KBytes       
[  5] 114.00-114.50 sec  38.2 MBytes   641 Mbits/sec    0    744 KBytes       
[  5] 114.50-115.00 sec  38.2 MBytes   640 Mbits/sec    0    744 KBytes       
[  5] 115.00-115.50 sec  38.2 MBytes   641 Mbits/sec    0    744 KBytes       
[  5] 115.50-116.00 sec  38.3 MBytes   643 Mbits/sec    0    744 KBytes       
[  5] 116.00-116.50 sec  38.3 MBytes   642 Mbits/sec    0    744 KBytes       
[  5] 116.50-117.00 sec  38.3 MBytes   642 Mbits/sec    0    744 KBytes       
[  5] 117.00-117.50 sec  38.2 MBytes   641 Mbits/sec    0    744 KBytes       
[  5] 117.50-118.00 sec  38.3 MBytes   643 Mbits/sec    0    744 KBytes       
[  5] 118.00-118.50 sec  38.3 MBytes   642 Mbits/sec    0    744 KBytes       
[  5] 118.50-119.00 sec  38.3 MBytes   642 Mbits/sec    0    744 KBytes       
[  5] 119.00-119.50 sec  38.4 MBytes   644 Mbits/sec    0    744 KBytes       
[  5] 119.50-120.00 sec  38.3 MBytes   643 Mbits/sec    0    744 KBytes       
[  5] 120.00-120.50 sec  38.5 MBytes   646 Mbits/sec    0    744 KBytes       
[  5] 120.50-121.00 sec  38.4 MBytes   645 Mbits/sec    0    744 KBytes       
[  5] 121.00-121.50 sec  38.4 MBytes   644 Mbits/sec    0    744 KBytes       
[  5] 121.50-122.00 sec  38.5 MBytes   646 Mbits/sec    0    744 KBytes       
[  5] 122.00-122.50 sec  38.5 MBytes   645 Mbits/sec    0    744 KBytes       
[  5] 122.50-123.00 sec  38.6 MBytes   647 Mbits/sec    0    744 KBytes       
[  5] 123.00-123.50 sec  38.3 MBytes   643 Mbits/sec    0    744 KBytes       
[  5] 123.50-124.00 sec  38.5 MBytes   646 Mbits/sec    0    744 KBytes       
[  5] 124.00-124.50 sec  38.8 MBytes   651 Mbits/sec    0    744 KBytes       
[  5] 124.50-125.00 sec  38.6 MBytes   646 Mbits/sec    0    744 KBytes       
[  5] 125.00-125.50 sec  38.4 MBytes   644 Mbits/sec    0    744 KBytes       
[  5] 125.50-126.00 sec  38.5 MBytes   645 Mbits/sec    0    744 KBytes       
[  5] 126.00-126.50 sec  38.7 MBytes   649 Mbits/sec    0    744 KBytes       
[  5] 126.50-127.00 sec  38.8 MBytes   650 Mbits/sec    0    744 KBytes       
[  5] 127.00-127.50 sec  38.4 MBytes   645 Mbits/sec    0    744 KBytes       
[  5] 127.50-128.00 sec  39.0 MBytes   655 Mbits/sec    0    744 KBytes       
[  5] 128.00-128.50 sec  40.5 MBytes   680 Mbits/sec    0    744 KBytes       
[  5] 128.50-129.00 sec  41.9 MBytes   703 Mbits/sec    0    768 KBytes       
[  5] 129.00-129.50 sec  39.8 MBytes   667 Mbits/sec    0    768 KBytes       
[  5] 129.50-130.00 sec  40.3 MBytes   676 Mbits/sec    0    768 KBytes       
[  5] 130.00-130.50 sec  40.6 MBytes   682 Mbits/sec    0    768 KBytes       
[  5] 130.50-131.00 sec  40.4 MBytes   678 Mbits/sec    0    768 KBytes       
[  5] 131.00-131.50 sec  41.0 MBytes   687 Mbits/sec    0    768 KBytes       
[  5] 131.50-132.00 sec  42.0 MBytes   705 Mbits/sec    0    768 KBytes       
[  5] 132.00-132.50 sec  40.8 MBytes   684 Mbits/sec    0    768 KBytes       
[  5] 132.50-133.00 sec  40.1 MBytes   674 Mbits/sec    0    768 KBytes       
[  5] 133.00-133.50 sec  40.8 MBytes   684 Mbits/sec    0    768 KBytes       
