iperf 3.1.3
Linux host115 3.16.0-4-amd64 #1 SMP Debian 3.16.7-ckt11-1+deb8u4 (2015-09-19) x86_64
Time: Thu, 01 Sep 2016 07:36:53 GMT
Connecting to host 192.168.110.16, port 5201
      Cookie: host115.1472715413.908879.369fb45e73
      TCP MSS: 1448 (default)
[  5] local 192.168.110.15 port 37080 connected to 192.168.110.16 port 5201
Starting Test: protocol: TCP, 1 streams, 131072 byte blocks, omitting 0 seconds, 100 second test
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  5]  49.00-49.50  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  49.50-50.00  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  50.00-50.50  sec   561 MBytes  9414 Mbits/sec    0   2.76 MBytes       
[  5]  50.50-51.00  sec   561 MBytes  9414 Mbits/sec    0   2.76 MBytes       
[  5]  51.00-51.50  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  51.50-52.00  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  52.00-52.50  sec   561 MBytes  9414 Mbits/sec    0   2.76 MBytes       
[  5]  52.50-53.00  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  53.00-53.50  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  53.50-54.00  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  54.00-54.50  sec   561 MBytes  9414 Mbits/sec    0   2.76 MBytes       
[  5]  54.50-55.00  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  55.00-55.50  sec   561 MBytes  9415 Mbits/sec    0   2.76 MBytes       
[  5]  55.50-56.00  sec   561 MBytes  9414 Mbits/sec    0   2.83 MBytes       
[  5]  56.00-56.50  sec   561 MBytes  9415 Mbits/sec    0   2.83 MBytes       
[  5]  56.50-57.00  sec   561 MBytes  9414 Mbits/sec    0   2.83 MBytes       
[  5]  57.00-57.50  sec   561 MBytes  9415 Mbits/sec    0   2.83 MBytes       
[  5]  57.50-58.00  sec   561 MBytes  9415 Mbits/sec    0   2.83 MBytes       
[  5]  58.00-58.50  sec   561 MBytes  9413 Mbits/sec    0   2.83 MBytes       
[  5]  58.50-59.00  sec   561 MBytes  9412 Mbits/sec    0   2.83 MBytes       
[  5]  59.00-59.50  sec   561 MBytes  9418 Mbits/sec    0   2.83 MBytes       
[  5]  59.50-60.00  sec   561 MBytes  9414 Mbits/sec    0   2.83 MBytes       
[  5]  60.00-60.50  sec   336 MBytes  5643 Mbits/sec  115   2.11 MBytes       
[  5]  60.50-61.00  sec  0.00 Bytes  0.00 Mbits/sec    2   1.41 KBytes       
[  5]  61.00-61.50  sec  0.00 Bytes  0.00 Mbits/sec    0   1.41 KBytes       
[  5]  61.50-62.00  sec  0.00 Bytes  0.00 Mbits/sec    1   1.41 KBytes       
[  5]  62.00-62.50  sec  0.00 Bytes  0.00 Mbits/sec    0   1.41 KBytes       
[  5]  62.50-63.00  sec  0.00 Bytes  0.00 Mbits/sec    0   1.41 KBytes       
[  5]  63.00-63.50  sec   147 MBytes  2474 Mbits/sec  1579   2.60 MBytes       
[  5]  63.50-64.00  sec   561 MBytes  9414 Mbits/sec    0   2.66 MBytes       
[  5]  64.00-64.50  sec   561 MBytes  9416 Mbits/sec    0   2.66 MBytes       
[  5]  64.50-65.00  sec   561 MBytes  9415 Mbits/sec    0   2.71 MBytes       
[  5]  65.00-65.50  sec   561 MBytes  9415 Mbits/sec    0   2.71 MBytes       
[  5]  65.50-66.00  sec   561 MBytes  9414 Mbits/sec    0   2.71 MBytes       
[  5]  66.00-66.50  sec   561 MBytes  9415 Mbits/sec    0   2.71 MBytes       
[  5]  66.50-67.00  sec   561 MBytes  9414 Mbits/sec    0   2.71 MBytes       
[  5]  67.00-67.50  sec   561 MBytes  9414 Mbits/sec    0   2.71 MBytes       
[  5]  67.50-68.00  sec   561 MBytes  9415 Mbits/sec    0   2.71 MBytes       
[  5]  68.00-68.50  sec   561 MBytes  9415 Mbits/sec    0   2.71 MBytes       
[  5]  68.50-69.00  sec   561 MBytes  9414 Mbits/sec    0   2.71 MBytes       
[  5]  69.00-69.50  sec   561 MBytes  9413 Mbits/sec    0   2.71 MBytes       
[  5]  69.50-70.00  sec   561 MBytes  9417 Mbits/sec    0   2.71 MBytes       
[  5]  70.00-70.50  sec   561 MBytes  9415 Mbits/sec    0   2.71 MBytes       
[  5]  70.50-71.00  sec   561 MBytes  9414 Mbits/sec    0   2.71 MBytes       
[  5]  71.00-71.50  sec   561 MBytes  9414 Mbits/sec    0   2.71 MBytes       
[  5]  71.50-72.00  sec   561 MBytes  9415 Mbits/sec    0   2.71 MBytes       
[  5]  72.00-72.50  sec   561 MBytes  9415 Mbits/sec    0   2.71 MBytes       
[  5]  72.50-73.00  sec   561 MBytes  9414 Mbits/sec    0   2.71 MBytes       
[  5]  73.00-73.50  sec   561 MBytes  9414 Mbits/sec    0   2.71 MBytes       
[  5]  73.50-74.00  sec   561 MBytes  9414 Mbits/sec    0   2.71 MBytes       
[  5]  74.00-74.50  sec   561 MBytes  9416 Mbits/sec    0   2.71 MBytes       
[  5]  74.50-75.00  sec   561 MBytes  9410 Mbits/sec    0   2.77 MBytes       
[  5]  75.00-75.50  sec   561 MBytes  9419 Mbits/sec    0   2.77 MBytes       
[  5]  75.50-76.00  sec   561 MBytes  9415 Mbits/sec    0   2.77 MBytes       
[  5]  76.00-76.50  sec   561 MBytes  9410 Mbits/sec    0   2.77 MBytes       
[  5]  76.50-77.00  sec   561 MBytes  9419 Mbits/sec    0   2.77 MBytes       
[  5]  77.00-77.50  sec   561 MBytes  9415 Mbits/sec    0   2.77 MBytes       
[  5]  77.50-78.00  sec   561 MBytes  9415 Mbits/sec    0   2.77 MBytes       
[  5]  78.00-78.50  sec   561 MBytes  9415 Mbits/sec    0   2.77 MBytes       
[  5]  78.50-79.00  sec   561 MBytes  9415 Mbits/sec    0   2.77 MBytes       
[  5]  79.00-79.50  sec   561 MBytes  9415 Mbits/sec    0   2.77 MBytes       
[  5]  79.50-80.00  sec   561 MBytes  9414 Mbits/sec    0   2.77 MBytes       
[  5]  80.00-80.50  sec   335 MBytes  5616 Mbits/sec   77   1.95 MBytes       
[  5]  80.50-81.00  sec   322 MBytes  5409 Mbits/sec  1412   2.61 MBytes       
[  5]  81.00-81.50  sec   561 MBytes  9414 Mbits/sec    0   2.73 MBytes       
[  5]  81.50-82.00  sec   561 MBytes  9414 Mbits/sec    0   2.73 MBytes       
[  5]  82.00-82.50  sec   561 MBytes  9415 Mbits/sec    0   2.73 MBytes       
[  5]  82.50-83.00  sec   561 MBytes  9415 Mbits/sec    0   2.73 MBytes       
[  5]  83.00-83.50  sec   561 MBytes  9415 Mbits/sec    0   2.73 MBytes       
[  5]  83.50-84.00  sec   561 MBytes  9414 Mbits/sec    0   2.73 MBytes       
[  5]  84.00-84.50  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  84.50-85.00  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  85.00-85.50  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  85.50-86.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  86.00-86.50  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  86.50-87.00  sec   561 MBytes  9416 Mbits/sec    0   2.78 MBytes       
[  5]  87.00-87.50  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  87.50-88.00  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  88.00-88.50  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  88.50-89.00  sec   561 MBytes  9412 Mbits/sec    0   2.78 MBytes       
[  5]  89.00-89.50  sec   561 MBytes  9417 Mbits/sec    0   2.78 MBytes       
[  5]  89.50-90.00  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  90.00-90.50  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  90.50-91.00  sec   561 MBytes  9413 Mbits/sec    0   2.78 MBytes       
[  5]  91.00-91.50  sec   561 MBytes  9416 Mbits/sec    0   2.78 MBytes       
[  5]  91.50-92.00  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  92.00-92.50  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  92.50-93.00  sec   561 MBytes  9412 Mbits/sec    0   2.78 MBytes       
[  5]  93.00-93.50  sec   561 MBytes  9417 Mbits/sec    0   2.78 MBytes       
[  5]  93.50-94.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  94.00-94.50  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  94.50-95.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  95.00-95.50  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  95.50-96.00  sec   561 MBytes  9412 Mbits/sec    0   2.78 MBytes       
[  5]  96.00-96.50  sec   561 MBytes  9417 Mbits/sec    0   2.78 MBytes       
[  5]  96.50-97.00  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  97.00-97.50  sec   561 MBytes  9415 Mbits/sec    0   2.78 MBytes       
[  5]  97.50-98.00  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  98.00-98.50  sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
[  5]  98.50-99.00  sec   561 MBytes  9411 Mbits/sec    0   2.78 MBytes       
[  5]  99.00-99.50  sec   561 MBytes  9419 Mbits/sec    0   2.78 MBytes       
[  5]  99.50-100.00 sec   561 MBytes  9414 Mbits/sec    0   2.78 MBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
Test Complete. Summary Results:
[ ID] Interval           Transfer     Bandwidth       Retr
[  5]   0.00-100.00 sec   102 GBytes  8728 Mbits/sec  6267             sender
[  5]   0.00-100.00 sec   102 GBytes  8728 Mbits/sec                  receiver
CPU Utilization: local/sender 22.1% (0.3%u/21.8%s), remote/receiver 28.2% (1.5%u/26.7%s)

iperf Done.
